Data zakupu,Cena zakupu,Data sprzedaży,Cena sprzedaży,Zysk,Zysk %
2021-01-04,58.98,2021-02-26,58.84,-139.99999999999346,-0.23736859952525174
2021-03-02,60.9,2021-03-03,60.2,-676.1999999999958,-1.1494252873563149
2021-03-04,61.48,2021-03-18,65.14,3462.3600000000033,5.953155497722843
2021-04-09,64.62,2021-04-13,63.56,-1010.1800000000021,-1.640359021974624
2021-04-14,65.6,2021-05-04,67.12,1404.4800000000096,2.317073170731723
2021-05-05,69.06,2021-05-25,76.08,6303.959999999996,10.1650738488271
2021-05-28,79.94,2021-06-07,81.54,1366.4000000000074,2.0015011258443938
2021-07-16,74.12,2021-07-19,71.68,-2293.5999999999976,-3.2919589854290305
2021-07-28,71.54,2021-08-19,70.74,-753.6000000000107,-1.1182555213866527
2021-09-06,74.5,2021-09-20,74.22,-250.32000000000102,-0.37583892617449816
2021-09-24,78.9,2021-10-21,87.6,7316.699999999991,11.026615969581734
2021-12-06,73.56,2022-01-21,77.78,4228.439999999999,5.736813485589993
2022-02-10,71.22,2022-02-24,62.96,-9036.439999999999,-11.597865768042682
2022-02-28,71.06,2022-03-16,74.48,3313.980000000002,4.812834224598933
2022-03-23,78.96,2022-03-25,77.66,-1188.1999999999973,-1.6464032421479196
2022-04-12,80.38,2022-04-22,76.1,-3779.240000000001,-5.3247076387161005
2022-05-16,73.84,2022-05-20,70.06,-3439.800000000001,-5.119176598049839
2022-05-23,72.64,2022-06-13,70.48,-1896.479999999997,-2.9735682819383213
2022-06-29,69.3,2022-08-03,74.46,4607.879999999997,7.445887445887442
2022-09-12,58.38,2022-10-19,50.4,-9089.220000000005,-13.669064748201446
2022-10-26,53.28,2022-11-21,61.5,8852.939999999999,15.427927927927925
2022-12-28,63.62,2023-01-09,62.0,-1686.4199999999973,-2.5463690663313385
2023-01-18,63.86,2023-02-02,63.56,-303.2999999999971,-0.4697776385843989
2023-02-23,64.2,2023-02-24,62.56,-1641.6400000000006,-2.554517133956387
2023-02-28,66.66,2023-03-10,62.46,-3943.799999999996,-6.300630063006294
2023-03-29,56.86,2023-05-02,62.99,6326.160000000003,10.780865283151606
2023-05-23,64.09,2023-05-25,62.57,-1541.2800000000032,-2.3716648463098817
2023-06-06,65.03,2023-06-27,65.44,400.15999999999667,0.6304782408119277
2023-07-12,67.2,2023-08-02,69.88,2545.999999999993,3.9880952380952266
2023-08-29,63.52,2023-09-07,58.46,-5287.700000000003,-7.965994962216628
2023-09-14,59.82,2023-10-04,57.25,-2626.5400000000004,-4.296221999331327
2023-10-10,60.68,2023-10-30,65.6,4742.879999999995,8.108108108108098
2023-11-24,64.2,2023-11-29,59.6,-4531.000000000002,-7.165109034267915
2023-12-08,62.01,2024-01-08,63.1,1032.2300000000032,1.7577810030640275
2024-01-26,61.02,2024-02-21,67.61,6451.609999999996,10.799737790888226
2024-03-14,63.71,2024-04-16,65.73,2098.7800000000034,3.1706168576361686
2024-05-10,68.34,2024-05-24,65.19,-3146.850000000006,-4.6093064091308245
2024-06-14,63.45,2024-07-09,66.88,3522.6099999999924,5.4058313632781605
2024-08-02,63.4,2024-08-05,61.1,-2490.899999999997,-3.6277602523659263
2024-08-12,64.56,2024-09-05,62.2,-2418.9999999999995,-3.655514250309788
2024-10-01,57.03,2024-10-18,53.4,-4058.340000000003,-6.3650710152551335
2024-10-25,53.82,2024-11-28,51.22,-2883.4000000000015,-4.830917874396138
2024-12-02,51.77,2024-12-12,48.87,-3184.200000000006,-5.601699826154154
2025-01-02,49.37,2025-01-29,52.3,3181.9799999999996,5.934778205387887
