Data zakupu,Cena zakupu,Data sprzedaży,Cena sprzedaży,Zysk,Zysk pp
2021-01-04,1946.6,2021-02-25,1775.4,-171200.0,-8.79
2021-03-10,1721.8,2021-03-30,1685.1,-37837.7,-2.13
2021-03-31,1714.4,2021-04-28,1773.5,59868.3,3.45
2021-05-06,1815.7,2021-05-31,1905.0,88317.7,4.92
2021-07-01,1776.8,2021-07-26,1799.2,23766.4,1.26
2021-08-17,1785.5,2021-09-08,1791.2,6093.3,0.32
2021-10-04,1766.9,2021-11-01,1795.8,31327.6,1.64
2021-11-08,1828.0,2021-11-22,1806.3,-23110.5,-1.19
2021-12-10,1783.8,2022-01-06,1789.2,5821.2,0.3
2022-01-19,1843.2,2022-01-27,1793.1,-52404.6,-2.72
2022-02-08,1826.8,2022-03-14,1960.8,137618.0,7.34
2022-04-08,1942.4,2022-04-22,1931.6,-11199.6,-0.56
2022-05-19,1841.2,2022-06-14,1810.5,-33401.6,-1.67
2022-07-21,1713.4,2022-08-16,1774.9,70663.5,3.59
2022-09-09,1718.8,2022-09-15,1666.8,-61724.0,-3.03
2022-09-29,1663.6,2022-10-14,1643.7,-23661.1,-1.2
2022-11-02,1650.0,2022-11-03,1630.9,-22633.5,-1.16
2022-11-04,1676.6,2022-11-22,1739.9,72921.6,3.78
2022-12-14,1811.5,2022-12-15,1780.6,-34206.3,-1.71
2022-12-30,1826.2,2023-01-26,1930.0,112000.2,5.68
2023-02-28,1836.7,2023-03-30,1988.5,172141.2,8.26
2023-05-03,2037.0,2023-05-16,1993.0,-48708.0,-2.16
2023-06-01,1986.5,2023-06-21,1936.1,-55994.4,-2.54
2023-07-03,1929.5,2023-07-27,1945.7,18046.8,0.84
2023-08-23,1920.5,2023-09-12,1917.2,-3725.7,-0.17
2023-09-20,1948.6,2023-09-21,1921.2,-30441.4,-1.41
2023-10-10,1866.7,2023-11-02,1993.5,144932.4,6.79
2023-11-23,2003.0,2023-12-08,2004.9,2162.2,0.09
2023-12-22,2059.6,2024-01-04,2050.0,-10627.2,-0.47
2024-01-29,2025.4,2024-02-12,2023.4,-2242.0,-0.1
2024-02-23,2039.4,2024-03-18,2164.3,138888.8,6.12
2024-04-02,2270.3,2024-04-19,2401.4,138966.0,5.77
2024-05-10,2375.0,2024-05-24,2334.5,-43416.0,-1.71
2024-06-19,2343.0,2024-07-22,2394.7,55215.6,2.21
2024-08-12,2469.9,2024-08-30,2504.5,35845.6,1.4
2024-09-13,2586.8,2024-10-03,2667.4,80841.8,3.12
2024-10-18,2718.0,2024-11-04,2746.2,27748.8,1.04
2024-11-22,2712.2,2024-12-18,2640.8,-71114.4,-2.63
2025-01-03,2654.7,2025-02-14,2900.7,243786.0,9.27
