Data zakupu,Cena zakupu,Data sprzedaży,Cena sprzedaży,Zysk,Zysk pp
2021-01-04,58.98,2021-02-26,58.84,-140.0,-0.24
2021-03-02,60.9,2021-03-03,60.2,-676.2,-1.15
2021-03-04,61.48,2021-03-18,65.14,3462.36,5.95
2021-04-09,64.62,2021-04-13,63.56,-1010.18,-1.64
2021-04-14,65.6,2021-05-04,67.12,1404.48,2.32
2021-05-05,69.06,2021-05-25,76.08,6303.96,10.17
2021-05-28,79.94,2021-06-07,81.54,1366.4,2.0
2021-07-16,74.12,2021-07-19,71.68,-2293.6,-3.29
2021-07-28,71.54,2021-08-19,70.74,-753.6,-1.12
2021-09-06,74.5,2021-09-20,74.22,-250.32,-0.38
2021-09-24,78.9,2021-10-21,87.6,7316.7,11.03
2021-12-06,73.56,2022-01-21,77.78,4228.44,5.74
2022-02-10,71.22,2022-02-24,62.96,-9036.44,-11.6
2022-02-28,71.06,2022-03-16,74.48,3313.98,4.81
2022-03-23,78.96,2022-03-25,77.66,-1188.2,-1.65
2022-04-12,80.38,2022-04-22,76.1,-3779.24,-5.32
2022-05-16,73.84,2022-05-20,70.06,-3439.8,-5.12
2022-05-23,72.64,2022-06-13,70.48,-1896.48,-2.97
2022-06-29,69.3,2022-08-03,74.46,4607.88,7.45
2022-09-12,58.38,2022-10-19,50.4,-9089.22,-13.67
2022-10-26,53.28,2022-11-21,61.5,8852.94,15.43
2022-12-28,63.62,2023-01-09,62.0,-1686.42,-2.55
2023-01-18,63.86,2023-02-02,63.56,-303.3,-0.47
2023-02-23,64.2,2023-02-24,62.56,-1641.64,-2.55
2023-02-28,66.66,2023-03-10,62.46,-3943.8,-6.3
2023-03-29,56.86,2023-05-02,62.99,6326.16,10.78
2023-05-23,64.09,2023-05-25,62.57,-1541.28,-2.37
2023-06-06,65.03,2023-06-27,65.44,400.16,0.63
2023-07-12,67.2,2023-08-02,69.88,2546.0,3.99
2023-08-29,63.52,2023-09-07,58.46,-5287.7,-7.97
2023-09-14,59.82,2023-10-04,57.25,-2626.54,-4.3
2023-10-10,60.68,2023-10-30,65.6,4742.88,8.11
2023-11-24,64.2,2023-11-29,59.6,-4531.0,-7.17
2023-12-08,62.01,2024-01-08,63.1,1032.23,1.76
2024-01-26,61.02,2024-02-21,67.61,6451.61,10.8
2024-03-14,63.71,2024-04-16,65.73,2098.78,3.17
2024-05-10,68.34,2024-05-24,65.19,-3146.85,-4.61
2024-06-14,63.45,2024-07-09,66.88,3522.61,5.41
2024-08-02,63.4,2024-08-05,61.1,-2490.9,-3.63
2024-08-12,64.56,2024-09-05,62.2,-2419.0,-3.66
2024-10-01,57.03,2024-10-18,53.4,-4058.34,-6.37
2024-10-25,53.82,2024-11-28,51.22,-2883.4,-4.83
2024-12-02,51.77,2024-12-12,48.87,-3184.2,-5.6
2025-01-02,49.37,2025-01-29,52.3,3181.98,5.93
